69,69(體位)
wallet,錢包
war,戰爭
wardrobe_error,穿衣方式錯了
wardrobe_malfunction,衣服出了意外(如崩開)
wariza,鴨子坐
warship,軍艦
washing,洗滌
watch,手錶
water,水
water_bottle,水瓶
water_drop,水滴
water_gun,水槍
watercolor_pencil_(medium),水彩筆作畫
watercraft,船艇
waterfall,瀑布
watering_can,水壺
watermark,浮水印
watermelon,西瓜
watermelon_bar,西瓜棒
watson_cross,雙腿交叉站姿
waves,波浪
waving_arms,揮舞著手臂
wavy_mouth,薯片嘴型
weapon,武器|兵器
weapon_on_back,背上的武器
weapon_over_shoulder,肩上的武器
web_address,網址
wedding,結婚|婚禮
wedding_band,左手無名指
wedding_ring,結婚戒指
wedgie,嵌入(拉襠部衣物所致)
weighing_scale,秤
weight_conscious,人物在意體重
werewolf,狼人
wet_clothes,濕衣服
wet_hair,濕頭髮
wet_panties,濕內褲
wet_shirt,濕襯衫
wet_swimsuit,濕泳衣
wetsuit,潛水服
whale,鯨魚
what_if,另一條世界線
wheel,車輪
wheelbarrow,獨輪小推車
wheelchair,輪椅
when_you_see_it,把梗元素藏在圖裏
whip,鞭子
whip_marks,鞭痕
whipped_cream,生奶油
whisk,攪拌
whisker_markings,臉頰有鬍鬚狀痕跡(如狐妖臉上)
whiskers,動物鬍鬚|絡腮胡
whispering,講悄悄話
whistle,口哨
whistle_around_neck,脖子上掛著口哨
white_apron,白色圍裙
white_background,白色背景
white_belt,白色腰帶
white_bikini,白色比基尼
white_bloomers,白色燈籠褲
white_blouse,白色上衣
white_bodysuit,白色緊身衣
white_border,白色邊框
white_bow,白色蝴蝶結
white_bra,白色胸罩
white_camisole,白色女式背心
white_cape,白色斗篷
white_capelet,白色披風
white_cardigan,白色開襟衫
white_cat,白貓
white_choker,白色項圈
white_coat,白色外套
white_collar,白色領子
white_day,白色情人節
white_dress,白色連衣裙
white_flower,白色的花
white_footwear,白色鞋類
white_gloves,白手套
white_hairband,白色發帶
white_headband,白色頭帶
white_headwear,白色頭飾
white_hoodie,白色連帽衫
white_jacket,白色夾克
white_kimono,白色和服
white_legwear,白絲襪
white_leotard,白色連身衣
white_nails,白色指甲
white_neckwear,白色領子
white_outline,白色輪廓
white_pants,白色褲子
white_pupils,白色瞳孔
white_ribbon,白色絲帶
white_rose,白玫瑰
white_sailor_collar,白色水手領
white_scarf,白色圍巾
white_scrunchie,白色發束
white_serafuku,白色水手服
white_shirt,白襯衫
white_shorts,白色短褲
white_skin,白色的皮膚
white_skirt,白色短裙
white_sleeves,白色袖子
white_suit,白色西裝
white_sweater,白色毛衣
white_swimsuit,白色泳衣
white_tank_top,白色無袖緊身背心
white_theme,白色主題
white_tiger,白虎(動物)
white_towel,白色毛巾
white_vest,白色背心
white_wings,白色翅膀
white-framed_eyewear,白框眼鏡
wicked_dragon_witch_ver._shinjuku_1999,邪龍之魔女ver新宿1999
wide_face,寬臉化
wide_ponytail,寬馬尾
wide_shot,廣角鏡頭
wide_sleeves,寬大的袖子
wide_spread_legs,豐盈的大腿
wide-eyed,睜大眼睛
wife_and_wife,百合夫婦
wig,假髮
wind,風
wind_chime,風鈴
wind_lift,起風效果|上升氣流
winding_key,發條鑰匙
windmill,風車
window,窗
window_shade,透過窗戶照進來的光
windowboxed,套著畫框(背景)
windsock,風向帶|鯉魚旗
wine_bottle,酒瓶
wine_glass,紅酒杯
wing_collar,燕子領
winged_footwear,帶翅膀的鞋子
winged_helmet,帶翅膀的頭盔
wings,翅膀
winter,冬季
winter_clothes,冬裝
wiping_tears,擦眼淚
wire,電線|數據線
wisteria,紫藤
witch,魔女
witch_(madoka_magica),魔女(魔法少女小圓)
witch_hat,女巫帽
wizard_hat,法師帽
wolf,狼
wolf_ears,狼耳朵
wolf_girl,狼女孩
wolf_tail,狼尾巴
wood,木材
wooden_bucket,木桶
wooden_floor,木地板
wooden_sword,木劍
wooden_wall,木牆
world_war_ii,第二次世界大戰
wreath,花環
wrench,扳手
wrestling,摔角(運動)
wrestling_outfit,摔角服
wrestling_ring,摔角場
wringing_clothes,擰幹衣服
wrist_grab,抓著手腕
wrist_ribbon,腕帶
wrist_scrunchie,束腕
wrist_wrap,護腕(布類)
wristwatch,手錶
writing,寫作
wrong_feet,腳部作畫錯誤
x_hair_ornament,X形發飾
x-ray,透視
yagasuri,箭羽紋
yamakasa,山形花車
yandere,病嬌
yaoi,BL|腐|腐向
yarn,毛線
yarn_ball,毛線球
yasogami_school_uniform,八十神高中校服
yawning,打哈欠
year_of_the_dog,狗年
year_of_the_pig,豬年
year_of_the_rat,鼠年
year_of_the_rooster,雞年
yellow_apron,黃色圍裙
yellow_background,黃色背景
yellow_bikini,黃色比基尼
yellow_bodysuit,黃色緊身衣
yellow_bow,黃色的蝴蝶結
yellow_bra,黃色胸罩
yellow_choker,黃色項圈
yellow_dress,黃色連衣裙
yellow_flower,黃色的花
yellow_footwear,黃色鞋類
yellow_gloves,黃色手套
yellow_hairband,黃色發帶
yellow_headwear,黃色頭飾
yellow_jacket,黃色夾克
yellow_kimono,黃色和服
yellow_legwear,黃色褲襪
yellow_leotard,黃色連身衣
yellow_nails,黃色指甲
yellow_neckwear,黃色領子
yellow_panties,黃色內褲
yellow_ribbon,黃絲帶
yellow_rose,黃玫瑰
yellow_scarf,黃色圍巾
yellow_sclera,黃色鞏膜
yellow_scrunchie,黃色發束
yellow_shirt,黃色襯衫
yellow_shorts,黃色短褲
yellow_skin,黃色皮膚
yellow_skirt,黃色裙子
yellow_sweater,黃色毛衣
yellow_theme,黃色主題
yellow_vest,黃色背心
yellow_wings,黃色的翅膀
yellow-framed_eyewear,黃框眼鏡
yes,對
yes-no_pillow,Yes/No枕頭
yin_yang,太極圖
yordle,約德爾人
you_gonna_get_raped,要被強姦的flag
youkai,妖怪
younger,幼兒化
you're_doing_it_wrong,使用方法錯誤
yugake,弽
yunomi,茶碗
zabuton,褥墊
zero_suit,Zero裝束
zipper,拉鏈
zipper_pull_tab,拉鏈的拉片
zombie,僵屍
zombie_pose,僵屍姿勢
zouri,日式草鞋
z-ring,Z手環
animalisation,動物化
foodification,食物化
furrification,多毛化
anthropomorphism,擬人化
slimification,史萊姆化
vehicalization,載具化
zombification,僵屍化
adapted_outfit,原設服裝改編
alternative_costume,角色換裝
alternate_outfit,角色換裝
alternative_hat,與原設不同頭飾變化
alternate_hat,與原設不同頭飾變化
alternative_headwear,與原設不同頭飾變化
alternative_weapon,與原設不同武器變化
headwear_switch,頭飾互換
hat_switch,頭飾互換
no_glasses,去掉了(原設有的)眼鏡
no_bandana,去掉了(原設有的)頭飾
no_helmet,去掉了(原設有的)頭飾
hatless,去掉了(原設有的)頭飾
hat-less,去掉了(原設有的)頭飾
exchanging_clothes,服飾互換
costume_swap,服飾互換
outfit_switch,服飾互換
modern_clothing,現代改編
costume_combination,服裝組合
alternative_wings,與原設不同翅膀
no_fire,無火化
no_horn,無角化
no_tail,無尾化
no_animal_ears,去掉了(原設有的)獸耳
no_mask,去掉了(原設有的)面具
alternative_hair_color,與原設不同發色變化
alternate_haircolor,與原設不同發色變化
alternative_hairstyle,與原設不同髮型變化
alternate_hair_style,與原設不同髮型變化
alternative_hair_style,與原設不同髮型變化
hairdown,披下來的頭髮
alternative_hair_length,與原設不同頭髮長度變化
alternative_eye_color,與原設不同瞳色
unusually_open_eyes,(與原設不同)睜眼
personality_swap,人格替換
light_persona,美化
alternate_colors,異色
alternative_color,異色
alternate_element,與原設不同元素
alternative_element,與原設不同元素
palette_swap,色調互換
age_comparison,年齡對比
aged_down,年齡減少
de-aged,年齡減少
aged_up,年齡增加
crossgender,性轉
genderbend,性轉
sex_change,性轉
rule_63,性轉
alternate_universe,異世界
scenary,風景
scifi,科幻
sci-fi,科幻
futuristic,科幻
sci_fi,科幻
transparent_gif,透明背景
transparent_png,透明背景
sea,大海
magical_circle,魔法陣
magic_circles,魔法陣
magical_circles,魔法陣
valentines,情人節
valentine's_day,情人節
valentines_day,情人節
xmas,耶誕節
woods,森林/樹
outside,戶外
outdoor,戶外
roof,屋頂
feather,場景飄羽毛
coffee_shop,咖啡廳
starbucks,星巴克
izakaya,居酒屋
class_room,教室
beautiful_detailed_water,漂亮的水
band-aid,創可貼
bandaids,創可貼
band_aids,創可貼
walking_stick,手杖
cuff,手枷
handcuff,警用手銬
shackle,寬手銬
manacles,寬手銬
tattoos,紋身
pareo,莎籠/沙灘浴巾
hands_and_knees,四肢趴地
all-fours,四肢趴地
on_all_fours,四肢趴地
bent-over,翹臀姿勢
bending_over,翹臀姿勢
bend_over,翹臀姿勢
crossed_legs_(sitting),二郎腿
crossed_legs_(standing),二郎腿
crossed_legs_(lying),二郎腿
battle_stance,戰鬥姿態
hugging_own_legs,抱腿
knee_hug,抱腿
hugging_legs,抱腿
hugging_knees,抱腿
agura,盤腿
on_knees,下跪
raised_leg,抬一隻腳
leg_raise,抬一隻腳
leg_raised,抬一隻腳
lying_down,躺著
laying_down,躺著
laying,躺著
lying_on_stomach,趴著
prone,趴著
on_belly,趴著
on_front,趴著
bridal_carry,公主抱
sitting_on_knees,正坐
sit,坐著
sitting_down,坐著
open_legs,張腿
spread_leg,張腿
squat,蹲下
crouched,蹲下
crouch,蹲下
crouching,蹲下
ass-up_head-down,趴著翹臀
face_down_ass_up,趴著翹臀
w_sitting,割坐
w-legs,割坐
w_legs,割坐
humpbacked,駝背
lying_on_back,仰躺
supine,仰躺
lying_on_side,側臥
recline,斜倒斜躺姿勢
sitting_in_lap,坐在大腿上
kneeling_on_one_leg,單膝跪
butterfly_pose,蝴蝶坐
figure_four_sitting,二郎腿
lotus_position,結跏趺坐
sitting_on,坐在人身上
thigh_straddling,大腿跨騎
thigh_straddle,大腿跨騎
on_one_foot,單腿站立
standing_on_one_foot,單腿站立
on_one_leg,單腿站立
balance,(保持)平衡的姿勢
crawling,爬行
jump,跳躍
run,奔跑
wallwalking,走在牆頂上
prostration,失意體前屈/Orz
orz,失意體前屈/Orz
chest_stand,用胸支撐身體
cowering,抱頭
crucifixion,磔
faceplant,臉貼地面
battoujutsu_stance,拔刀起手式
full_scorpion,頭撲倒在地
stretching,伸懶腰
superhero_landing,三點著地
three-point_landing,三點著地
standing_on_hands,用手倒立
headstand,用頭倒立
yoga,瑜伽
scorpion_pose,蠍子姿勢
slouching,傴
one_leg_raised,抬起腿
knees-on-chest,膝蓋頂到胸部
outstretched_leg,腿部伸展
splits,分開
pigeon_pose,鴿子姿勢
boobs,胸部
tits,胸部
breast,胸部
pettanko,貧乳 (A)
flat_chested,貧乳 (A)
large_boobs,大胸 (D)
large_tits,大胸 (D)
large_breast,大胸 (D)
big_breasts,大胸 (D)
huge_tits,巨乳 (E)
huge_boobs,巨乳 (E)
gigantic_breast,魔乳 (F)
bandage_bra,纏胸布
bandagebra,纏胸布
broach,胸針
chest_gem,胸前有寶石
strap_cleavage,乳房之間的帶子
paisura,乳房之間的帶子
headphones_on_breasts,耳機壓胸
under_boob,南半球
underbreast,南半球
bandaid_on_nipples,乳頭貼著創可貼
bandaids_on_nipple,乳頭貼著創可貼
bandaid_on_nipple,乳頭貼著創可貼
belt_bra,皮帶束胸
untied_bra,(前面)解開的胸罩
unhooked_bra,(前面)解開的胸罩
unfastened_bra,(前面)解開的胸罩
bra_down,拉下的胸罩
bra_off,摘下的胸罩
bra_padding,胸墊
breast_pads,胸墊
fake_breasts,胸墊
bra_stuffing,胸墊
breast_pad,胸墊
breast_stuffing,胸墊
chestplate,胸甲
breast_plate,胸甲
chest_plate,胸甲
breastless_bra,高露出度胸罩
nippleless_bra,高露出度胸罩
tube_top,直筒式抹胸
nipple,乳頭
puffy_nipple,大乳頭
areolae_slip,乳暈微露
breast_to_breast,胸部貼著胸部
breasts_grab,揉胸
grabbing_breasts,揉胸
boob_grab,揉胸
holding_breasts,抱著胸部
head_in_breasts,頭埋在胸裏/洗面乳
breasts_squeeze,從兩側擠胸
breasts_against_glass,胸壓玻璃
headboob,壓在頭上的乳房
tapioca_challenge,不用手喝珍珠奶茶挑戰
breast_cover,遮著乳房
breast_covering,遮著乳房
handbra,遮著乳房
flat_grab,抓著貧乳
hand_up_shirt,手伸進襯衫下面
hand_in_shirt,手伸進襯衫下面
nipple_pinch,玩弄乳頭
flat_envy,平胸歧視
breast_reduction,縮胸
bust_measuring,罩杯測量
breast_measuring,罩杯測量
flying_button,飛出的紐扣
convenient_breasts,自然的胸部
inconvenient_breasts,不自然的胸部
oversized_breast_cup,過大的罩杯
weighing_breasts,測量乳房重量
areolas,乳暈
areola,乳暈
glands_of_montgomery,蒙哥馬利腺體
big_areolae,大乳暈
large_areola,大乳暈
big_areola,大乳暈
back_boob,從背後可看到的胸部
perky_nipples,激凸的乳頭/隱約可見的乳頭
erect_nipple,激凸的乳頭/隱約可見的乳頭
erect_nipples,激凸的乳頭/隱約可見的乳頭
erect_nipples_under_clothes,激凸的乳頭/隱約可見的乳頭
sunken_nipples,內陷乳頭
long_nipples,長乳頭
nipslip,乳頭走光
nippleslip,乳頭走光
nip_slip,乳頭走光
nippleless,沒畫出乳頭
nipple_hair,乳頭毛
side_boobs,側乳
side_boob,側乳
sideboobs,側乳
boob_slip,胸部走光
breasts_out,胸部露出
breasts_out_of_clothes,胸部露出
breast_outside,露出一隻乳房
asymmetrical_breasts,不對稱的胸部
lopsided_breasts,不對稱的胸部
floating_breasts,漂浮的乳房
hanging_boob,(俯身)雙乳下垂
veiny_breasts,看見靜脈的乳房
pointy_breasts,尖乳房
very_perky_breasts,尖乳房
torpedo_breasts,尖乳房
nursing_bra,哺乳用文胸
shelf_bra,無頂文胸/露出乳頭的胸罩
breastless_clothing,露胸的衣服
breast_curtain,乳簾
breast_veil,乳簾
chest_binder,平胸襯衫
cinderella_bust,Feast 灰姑娘系列胸罩
tit_window,露出的乳溝
cleavage_window,露出的乳溝
heart_cleavage_cutout,露出的乳溝
boob_window,露出的乳溝
nipple_cutout,衣服破損露出乳頭
nippleless_clothing,能露出乳頭的衣物
panties_on_breasts,在乳房上穿內褲
taut_blouse,繃緊的襯衫
breast_pillow,乳房枕頭
face_to_breasts,臉貼乳房
face_to_pecs,臉貼胸肌
breast_biting,咬胸
boob_chomp,咬胸
breastfeeding,哺乳
breast_feed,哺乳
suckle,哺乳
nipple_biting,咬乳頭
nipple_bite,咬乳頭
licking_nipple,舔乳頭
licking_nipples,舔乳頭
breast_pull,拉胸
breast_punch,錘胸
breast_slap,拍胸
hand_in_bra,手在胸罩裏
nipple_flick,撥動乳頭
nipple_press,按乳頭
nipple_push,壓乳頭
nipple_rub,揉搓乳頭
nipple-to-nipple,乳頭貼乳頭
card_between_breasts,卡片在乳溝裏
arm_between_breasts,胳膊在乳溝裏
person_between_breasts,乳房夾人
tied_breast,綁起來的乳房
breast_mousepad,乳房滑鼠墊
carried_breast_rest,拿著乳房
bust_cup,乳溝作杯子
breast_cup,乳溝作杯子
breasts_cup,乳溝作杯子
alcohol_between_breasts,乳溝作杯子
cum_between_breasts,射在胸上
semen_on_breasts,射在胸上
cum_on_tits,射在胸上
food_on_breasts,胸上有食物
object_on_breast,胸上有物體
tawawa_challenge,tawawa挑戰/用胸撐起平放的手機
object_on_pectorals,胸肌上有物體
oppai_challenge,歐派挑戰
censoring,有碼
censor,有碼
uncensoring,無碼
censor_bars,黑條打碼
convenient_censorship,簡單巧妙的打碼
bubble_filter,泡泡打碼
hair_on_breasts,頭髮披在胸上
hair_over_crotch,頭髮蓋在胯下
hair_over_one_breast,頭髮蓋在一邊胸上
convenient_bath_steam,蒸汽/霧氣打碼
convenient_tail,尾巴遮住三點/用尾巴打碼
wing_censor,用翅膀打碼
censor_wings,用翅膀打碼
intimate_covering,自然的打碼
clothes_in_front,衣服在前面擋著
mosaic_censor,馬賽克
rough_censoring,馬賽克
pixel_censor,馬賽克
non-intimate_covering,不自然的打碼
can't_show_this,不能顯示這個
outside_of_play_area,離開了可遊玩區域
treasure_mark_censor,寶藏標記打碼
one_finger_selfie_challenge,單指自拍挑戰
fake_censor,假打碼
unnecessary_censorship,假打碼
censored_food,打碼食品
censored_violence,打碼暴力行為
eye_censor,眼部打碼
pointless_censorship,敷衍的打碼
skyscrapers,摩天大樓
neon_lights,霓虹燈
fences,欄杆
ruin,廢墟
shops,商店
store,商店
buildings,建築
wafuku,和服
traditional_japanese_clothes,和服
japanese_clothing,和服
body_suit,緊身衣
cheongsam,旗袍
qipao,旗袍
chinese_dress,旗袍
one-piece_dress,連衣裙
gym_clothes,運動服
pyjamas,睡衣
pajama,睡衣
pyjama,睡衣
sukumizu,學校泳衣
school_swimsuits,學校泳衣
seifuku,學校制服
school_uniforms,學校制服
schoolgirl,學校制服
school_girl,學校制服
seethrough,透明裝
transparent_clothing,透明裝
sheer_clothing,透明裝
swimsuits,泳裝
swim_suit,泳裝
bathing_suit,泳裝
mizugi,泳裝
ripped_clothing,破爛衣服
torn_clothing,破爛衣服
ripped_clothes,破爛衣服
undergarments,內衣
uniforms,制服
goth,哥特風格
lolita,洛麗塔風格
nude_apron,裸體圍裙
hadaka_apron,裸體圍裙
nude_overalls,裸體工作服
nude_ribbon,裸體絲帶
stripes,橫條花紋
polka_dots,點狀花紋
polka-dot,點狀花紋
frill,皺邊
ruffles,皺邊
frilly,皺邊
frilled,皺邊
clothing_down,褪下衣物
open_yukata,敞開的和服
shoulderless_dress,無肩帶連衣裙
summerdress,太陽裙/背心裙
sun_dress,太陽裙/背心裙
sheath_dress,包臀裙
half_apron,腰圍裙
pettiskirt,蓬蓬裙
tutu,芭蕾舞裙
organza_lace,透明硬紗/蕾絲花邊
microbikini,迷你比基尼
seashell_bra,貝殼比基尼
seashell_bikini,貝殼比基尼
shell_bra,貝殼比基尼
sling_bikini,彈弓泳衣/吊帶泳衣/V字泳衣
slingbikini,彈弓泳衣/吊帶泳衣/V字泳衣
sling_swimsuit,彈弓泳衣/吊帶泳衣/V字泳衣
armoured_dress,戰甲裙
ballet_leotard,體操服
gymnast_leotard,體操服
open_back_dress,露背連衣裙
open-back_dress,露背連衣裙
open_back,露背裝
backless,露背裝
biker_suit,騎行套裝
bike_suit,騎行套裝
evening_dress,晚會禮服
gi,武道服
harem_clothes,舞娘服
varsity_jacket,棒球服
one-piece,一體式泳衣
sailor_uniform,水手服
sailor_suit,水手服
santa_suit,聖誕老人服裝
santa_outfit,聖誕老人服裝
straightjacket,拘束服
straight_jacket,拘束服
wedding_kimono,白無垢/日式嫁衣
gray_theme,灰色
cel_shading,卡通渲染
ff_gradient,最終幻想式漸變
inverted_colors,色彩反轉
restricted_palette,色塊風格
monochromatic,單色畫
black_and_white,純黑白色/黑白照片化/灰度
grayscale,純黑白色/黑白照片化/灰度
greyscale_with_colored_background,黑白角色與有色背景
colored_with_greyscale_background,有色角色與黑白背景
partially_monochrome,部分上色
muted_colors,啞光
neon_palette,霓虹色彩
pale_colors,蒼白的顏色
pastel_colors,柔和色彩
rainbows,彩虹
colorized,上色
spot_colors,黑白畫中的少量顏色
bordered,邊框
windowbox,邊框
framed,畫框
frame,畫框
outside_of_border,一部分畫到了背景框外面
out_of_border,一部分畫到了背景框外面
cropped_background,一部分畫到了背景框外面
fading_border,褪色邊框
fading_borders,褪色邊框
camera_frame,相機取景框
bust_chart,胸圍圖
breast_chart,胸圍圖
breast_comparison,胸圍圖
boob_chart,胸圍圖
character_chart,人設圖
reference_sheet,設定圖
diagram,圖表
move_chart,動作演示圖
relationship_graph,關係表
relationship_chart,關係表
seating_chart,座次表
cropped,遭到裁剪
fake_scrollbar,假的捲軸
eyes_out_of_frame,頭部脫框
glitch,畫面噪點
isometric,等軸圖
letterbox,寬銀幕格式
letter_boxed,寬銀幕格式
pillarbox,柱狀畫布背景
line-up,一排人
line_up,一排人
mosaic_art,馬賽克藝術
photomosaic,馬賽克拼圖
negative_space,大量留白
omake,附圖
partially_underwater_shot,部分水下拍攝
social_media_composition,社交媒體整合
symmetrical,左右對稱
polar_opposites,兩極對稱
trim_marks,裁剪標記
crop_marks,裁剪標記
zoomlayer,人物立繪縮放(剪影)圖層
in_profile,側臉
straight-on,正臉
cropped_torso_upper_body,上半身出框
cropped_shoulders,肩膀出框
cropped_arms,手臂出框
selfiemirror,自拍鏡
staring_at_breasts,瞄著乳房
averting_eyes,移開視線
averted_eyes,移開視線
looking_over_shoulder,回眸
turning,回眸
looking_aside,看向側面
looking_to_side,看向側面
spying,偷窺(強調視角)
hand_pov,手伸來方向的視角
side_glance,輕輕向側面瞥
back_focus,背景焦點
pov_ass,臀部焦點
foot_focus,足部焦點
pov_feet,足部焦點
feet_focus,足部焦點
kemonomimi,動物耳朵
nekomimi,貓耳
inumimi,狗耳
dog_ear,狗耳
african_wild_dog_ears,狗耳
rat_ears,老鼠耳朵
pointed_ears,尖耳
pointy_ear,尖耳
elf_ears,尖耳
elven_ears,尖耳
long_ears,尖耳
heart_earring,心形耳環
hoop_earring,環狀耳環
ear_ring,耳環
ear_rings,耳環
earring,耳環
crescent_earring,月牙耳環
tanuki_ears,浣熊耳朵
covering_ears,遮住耳朵
hands_over_ears,遮住耳朵
rabbit_ears,兔子耳朵
deer_ears,鹿耳朵
reindeer_ears,鹿耳朵
ferret_ears,鼬耳朵
goat_ears,山羊耳朵
panda_ears,熊貓耳朵
pikachu_ears,皮卡丘耳朵
pig_ears,豬耳朵
coyote_ears,狼耳朵
lensflare,鏡頭光暈
sparkles,閃耀效果
sparkling,閃耀效果
jpeg_artifacts,JPEG 壓縮失真
jpeg_artefacts,JPEG 壓縮失真
jpg_artifacts,JPEG 壓縮失真
blurred,模糊的
cinematic_lighting,電影光效
glowing_light,螢光
god_rays,自上而下的光
ray_tracing,光線追蹤
reflection_light,反射光
overexposure,過曝
backlit,逆光
blending,混合
caustic_lighting,焦散
chiaroscuro,明暗對比
chromatic_aberration_abuse,色差濫用
focus_blur,背景虛化
dithering,抖動
noise_(visual),膠片顆粒感/老電影濾鏡
grainy,膠片顆粒感/老電影濾鏡
lens_flare_abuse,鏡頭光暈濫用
anaglyph,互補色
stereogram,立體畫
scanlines,掃描線
vignetting,暈影
make-up,濃裝
make_up,濃裝
food_on_cheek,食物在臉上
sniffing,聞
nose_bleed,鼻血
blood_from_nose,鼻血
bloody_nose,鼻血
gritted_teeth,咬牙
gritting_teeth,咬牙
sighing,歎氣
smiling,微笑
:),微笑
:},微笑
faint_smile,淺笑
mad,生氣的
anger,生氣的
irritated,苦惱的
insane,瘋狂的
yangire,瘋狂的
embarrassing,尷尬的
embarrassment,尷尬的
blushing,臉紅的
flush,臉紅的
flushed,臉紅的
sadness,悲傷的
:(,皺眉/蹙額
frowning,皺眉/蹙額
:{,皺眉/蹙額
naughty_smile,下流的表情
tongues,舌頭
drool,唾液
spit,唾液
finger_smile,用手指做出笑臉
lip_licking,舔嘴唇
ouch,疼痛
cry,哭
scream,尖叫/大聲喊
fear,害怕的
afraid,害怕的
stern,嚴肅的
gloomy,消沉(表情)
jealousy,嫉妒的
flat_gaze,輕蔑的眼神
shaded,陰沉臉
pale_face,臉色蒼白
emotionless,無口
neutral_expression,無口
unexpressive,無口
facial_expressions,表情
smiley,笑臉
doya-gao,得意臉
full_blush,整張臉泛紅
panting,喘粗氣
moan,呻吟
shocked,驚訝
shock,驚訝
surprise,驚訝
startled,驚訝
laugh,在笑的
naughty,下流的表情
troll,囂張臉
saliva_string,唾液拉絲
flesh_fang,把嘴的一部分畫成虎牙狀
bulging_cheeks,鼓著腮幫
cheek_pinch,捏臉頰
pinching_cheeks,捏臉頰
cheek_poke,戳臉頰
poking_cheeks,戳臉頰
cheek_tug,扯臉頰
hands_over_eyes,遮住眼睛
hiding_mouth,擋住嘴巴
hands_over_mouth,擋住嘴巴
bared_teeth,牙
excited,興奮
expressionless_eyes,失神
wide_eyed,睜大眼睛
:0,驚訝
:9,右上吐舌頭
:b,右下吐舌頭
hiding_face,擋住臉
gray_eyes,灰眼
odd_eye,異色瞳
red_eye,紅眼
cat_eyes,豎瞳孔/貓眼
snake_eyes,豎瞳孔/貓眼
upturned_eyes,上翹的眼睛
eyes_wide,睜開眼睛
wide_eyes,睜開眼睛
shocked_eyes,睜開眼睛
rolled_eyes,眼睛抬頭
eye_roll,眼睛抬頭
furrowed_brow,下眉毛
furrowed_eyebrows,下眉毛
dashed_eyes,黑眼圈中的水平線
dash_eyes,黑眼圈中的水平線
line_in_eye,黑眼圈中的水平線
mismatched_pupils,左右眼顏色不同
asymmetrical_pupils,左右眼顏色不同
mismatched_sclera,左右眼不同顏色的眼白
dead_eyes,眼睛沒有亮點
dilated_pupils,瞳孔擴張
hollow_eyes,漆黑的眼睛
contracted_pupils,瞳孔收縮
shrunk_pupils,瞳孔收縮
shrunk_eyes,瞳孔收縮
x-shaped_pupils,X 形眼睛
eye_reflection,眼睛反射
half_closed_eyes,眼睛半閉
cringe,閉一隻眼
eyeballs,盯著看
tear,眼淚
gradient_eyes,漸變瞳色
half_closed_eye,半閉的眼睛(單眼)
sparkle_eyes,星星眼
glare,輕蔑/怒視
eye_lashes,睫毛
eye_through_hair,透過頭髮可以看到的眼睛
anger_mark,青筋
blush_sticker,表情貼紙
confused,疑惑
determined,有決心的
disappointed,失望的
disdain,蔑視
disgust,噁心
disgusted,噁心
despair,絕望
envy,嫉妒
evil,邪惡
frustrated,沮喪
guilt,有罪的
kubrick_stare,庫布裏克凝視
lonely,孤獨的
rapeface,一副要強奸人的表情
depressed,壓抑的/鬱悶的
panicking,恐慌的
panic,恐慌的
worried,擔憂的
tired,累
sulking,悶悶不樂
pensive,沉思的
upset,氣憤
crazy_smile,瘋狂地笑
forced_smile,強迫笑
glasgow_smile,格拉斯哥微笑
sad_smile,苦笑
stifled_laugh,憋笑
^^^,驚訝的
color_drain,驚訝到掉色
horrified,恐懼表情
horror_(expression),恐懼表情
sobbing,啜泣
tremble,顫抖
shiver,顫抖
shivering,顫抖
uwu,貓臉
:/,斜嘴
:\,斜嘴
:|,無語
:c,傷心
:<>,張大嘴
vacuum_fellatio,:>=
blowjob_face,:>=
.3.,o3o
(-3-),嘟嘴
heart-shaped_eyes,心形眼
heart_eyes,心形眼
heart_eye,心形眼
owata,\(^o^)/
cross-eyed,鬥雞眼
crossed_eyes,鬥雞眼
dot_mouth,小圓點嘴
rectangular_mouth,方形嘴
:[],方形嘴
side_mouth,把嘴畫在側臉
cheek_mouth,把嘴畫在側臉
split_mouth,裂開的嘴
disconnected_mouth,裂開的嘴
amber_eyes,琥珀色眼
al_bhed_eyes,暈眼
swirly_eyes,暈眼
pac-man_eyes,吃豆人形眼
pacman_eyes,吃豆人形眼
goat_eyes,一字型瞳孔/蛙眼
frog_eyes,一字型瞳孔/蛙眼
star_eyes,加號型眼
starry_eyes,加號型眼
diamond-shaped_pupils,鑽石形瞳孔
flower-shaped_pupils,花形瞳孔
blue_sclera,藍色鞏膜
bloodshot_eyes,佈滿血絲的眼睛
bloodshot_eye,佈滿血絲的眼睛
green_sclera,綠色鞏膜
no_sclera,無色鞏膜
orange_sclera,橙色鞏膜
eye_circles,眼袋
eyebags,眼袋
dark_circles,眼袋
aegyo_sal,眼袋
bruised_eye,瘀傷的眼睛
black_eye,瘀傷的眼睛
flaming_eyes,燃燒的眼睛
burning_eyes,燃燒的眼睛
fiery_eyes,燃燒的眼睛
mako_eyes,魔眼
amphibian_eyes,兩棲動物的眼睛
cephalopod_eyes,頭足類動物的眼睛
octopus_eyes,頭足類動物的眼睛
compound_eyes,複合眼
insect_eyes,複合眼
petal,花瓣
flowers,花
sakura_blossoms,櫻花
cherry_trees,櫻花
cherry_blossom,櫻花
flowers_meadows,花田
checkerboard,格子的
everybody,所有人
group,所有人
high_res,高解析度
hires,高解析度
high_resolution,高解析度
low_res,低解析度
original_character,原創
masterpiece,傑作
best_quality,頂級品質
